translation_, rotation_
270.690,80.330, -3.634
271.391,80.287, -3.316
272.079,80.249, -3.020
272.755,80.215, -2.746
273.417,80.185, -2.493
274.067,80.158, -2.262
274.704,80.134, -2.049
275.328,80.113, -1.855
275.939,80.094, -1.678
276.537,80.077, -1.517
277.122,80.062, -1.370
277.694,80.049, -1.237
278.253,80.038, -1.116
278.800,80.028, -1.006
279.333,80.019, -0.906
279.853,80.011, -0.816
280.360,80.004, -0.734
280.855,79.998, -0.660
281.336,79.993, -0.593
281.804,79.988, -0.533
282.259,79.984, -0.478
282.702,79.981, -0.429
283.131,79.978, -0.385
283.547,79.975, -0.345
283.951,79.973, -0.310
284.341,79.971, -0.278
284.718,79.969, -0.249
285.082,79.968, -0.224
285.434,79.966, -0.201
285.772,79.965, -0.181
286.097,79.964, -0.164
286.410,79.963, -0.148
286.709,79.963, -0.135
286.995,79.962, -0.123
287.269,79.961, -0.113
287.529,79.961, -0.104
287.776,79.961, -0.096
288.011,79.960, -0.090
288.232,79.960, -0.085
288.440,79.960, -0.080
288.635,79.959, -0.076
288.818,79.959, -0.073
288.987,79.959, -0.071
289.143,79.959, -0.069
289.287,79.958, -0.068
289.417,79.958, -0.067
289.534,79.958, -0.066
289.639,79.958, -0.065
289.730,79.958, -0.065
289.808,79.958, -0.065
289.873,79.958, -0.065
289.926,79.958, -0.065
289.965,79.958, -0.064
289.991,79.958, -0.064
290.005,79.958, -0.064
